position,job_id,kind,seed,layer,auroc,n_pos,n_neg
last_prompt_token,clean__base_control,base_control,,0,0.5,36,36
last_prompt_token,clean__base_control,base_control,,1,0.826388888888889,36,36
last_prompt_token,clean__base_control,base_control,,2,0.6350308641975309,36,36
last_prompt_token,clean__base_control,base_control,,3,0.5393518518518519,36,36
last_prompt_token,clean__base_control,base_control,,4,0.5871913580246914,36,36
last_prompt_token,clean__base_control,base_control,,5,0.39429012345679015,36,36
last_prompt_token,clean__base_control,base_control,,6,0.3040123456790123,36,36
last_prompt_token,clean__base_control,base_control,,7,0.18672839506172842,36,36
last_prompt_token,clean__base_control,base_control,,8,0.29012345679012347,36,36
last_prompt_token,clean__base_control,base_control,,9,0.21296296296296297,36,36
last_prompt_token,clean__base_control,base_control,,10,0.20061728395061726,36,36
last_prompt_token,clean__base_control,base_control,,11,0.1674382716049383,36,36
last_prompt_token,clean__base_control,base_control,,12,0.26080246913580246,36,36
last_prompt_token,clean__base_control,base_control,,13,0.2037037037037037,36,36
last_prompt_token,clean__base_control,base_control,,14,0.08256172839506173,36,36
last_prompt_token,clean__base_control,base_control,,15,0.1527777777777778,36,36
last_prompt_token,clean__base_control,base_control,,16,0.6111111111111112,36,36
last_prompt_token,clean__base_control,base_control,,17,0.529320987654321,36,36
last_prompt_token,clean__base_control,base_control,,18,0.529320987654321,36,36
last_prompt_token,clean__base_control,base_control,,19,0.38348765432098764,36,36
last_prompt_token,clean__base_control,base_control,,20,0.49537037037037035,36,36
last_prompt_token,clean__base_control,base_control,,21,0.6095679012345678,36,36
last_prompt_token,clean__base_control,base_control,,22,0.8611111111111112,36,36
last_prompt_token,clean__base_control,base_control,,23,0.7476851851851851,36,36
last_prompt_token,clean__base_control,base_control,,24,0.7029320987654322,36,36
last_prompt_token,clean__base_control,base_control,,25,0.6967592592592593,36,36
last_prompt_token,clean__base_control,base_control,,26,0.6388888888888888,36,36
last_prompt_token,clean__base_control,base_control,,27,0.6697530864197531,36,36
last_prompt_token,clean__base_control,base_control,,28,0.7739197530864198,36,36
last_prompt_token,clean__base_control,base_control,,29,0.4660493827160494,36,36
last_prompt_token,clean__base_control,base_control,,30,0.4853395061728395,36,36
last_prompt_token,clean__base_control,base_control,,31,0.3140432098765432,36,36
last_prompt_token,clean__base_control,base_control,,32,0.24768518518518517,36,36
